address,city,state,zip, price , sqft ,bedrooms,bathrooms,property age,age in years,parking,heating,basement,attic,green_bldg, price_per_sqft ,seller_rating,sale_type,price_range,cluster,property_score
Craig St,Mckeesport,PA,15132,," 1,300 ",3,2,1991,26,1,0,0,1,0,,1.3,Foreclosure,Below $50k,cluster4,3
Union Ave,Mckeesport,PA,15132,," 2,130 ",4,1.5,1964,53,0,1,0,0,0,,3.1,Pre-Foreclosure (Auction),Below $50k,cluster5,4.5
High St,Mckeesport,PA,15132,," 1,456 ",3,2,1979,38,0,1,1,0,1,,4.4,Foreclosure,Below $50k,cluster2,4
3rd St,Mckeesport,PA,15132,," 1,412 ",3,1.5,1992,25,1,1,0,0,1,,3.6,Pre-Foreclosure (Auction),Below $50k,cluster5,4.9
Jenny Lind St,Mckeesport,PA,15132,," 1,654 ",3,1,1921,96,1,0,1,1,0,,2.6,Pre-Foreclosure (Auction),Below $50k,cluster4,2.9
Eden Park Blvd,Mckeesport,PA,15132,," 1,216 ",2,1,1914,103,0,1,0,1,0,,4.7,Pre-Foreclosure (Auction),Below $50k,cluster1,4.5
Stewart St,Mckeesport,PA,15132,," 1,274 ",3,1,1902,115,1,1,1,1,1,,4.4,Pre-Foreclosure (Auction),Below $50k,cluster5,4.7
Beverly Rd,Mckeesport,PA,15133,," 1,163 ",4,1,1970,47,0,1,1,0,0,,1.6,Pre-Foreclosure (Auction),Below $50k,cluster5,5
Washington Blvd,Mckeesport,PA,15133,, 820 ,2,1,1918,99,1,0,0,1,1,,1.5,Pre-Foreclosure (Auction),Below $50k,cluster5,4.8
Fritchie St,Mckeesport,PA,15133,, 918 ,3,1,1913,104,0,0,1,1,0,,3.1,Foreclosure,Below $50k,cluster4,3
Glenn Ave,Mckeesport,PA,15133,," 1,222 ",3,1,1951,66,0,1,0,1,1,,4.6,Pre-Foreclosure (Auction),Below $50k,cluster5,4.8
Everglade Dr,Mckeesport,PA,15135,," 1,092 ",3,1,2006,11,1,1,0,0,1,,4.1,Foreclosure,Below $50k,cluster2,3.8
Pitt St,Mckeesport,PA,15135,," 1,364 ",2,1,1931,86,1,1,1,1,1,,4,Pre-Foreclosure (Auction),Below $50k,cluster5,4.8
Smithfield St,Mckeesport,PA,15135,," 1,026 ",3,1,1920,97,0,1,0,1,0,,4.7,Pre-Foreclosure (Auction),Below $50k,cluster1,3.4
Victory St,Mckeesport,PA,15135,," 1,325 ",2,1,1947,70,1,0,1,1,0,,4.3,Foreclosure,Below $50k,cluster4,2.5
Smithfield St,Mckeesport,PA,15135,," 1,753 ",2,1,1921,96,0,0,1,0,0,,3.5,Foreclosure,Below $50k,cluster3,1.5
Lebanon Dr,Mckeesport,PA,15135,,,,,1979,38,1,0,0,0,0,,4,Foreclosed,Below $50k,cluster3,1.4
Everglade Dr,Mckeesport,PA,15135,," 1,744 ",3,2.5,1927,90,1,1,1,0,0,,3.9,Pre-Foreclosure (Auction),Below $50k,cluster5,4.5
Cascade Dr,Mckeesport,PA,15135,," 1,518 ",3,2,1964,53,1,0,1,1,0,,3.7,Pre-Foreclosure (Auction),Below $50k,cluster4,2.1
Meade St,Mckeesport,PA,15135,," 1,887 ",3,1.5,1997,20,1,0,0,1,1,,1.4,Pre-Foreclosure (Auction),Below $50k,cluster5,5
152 Mount Vernon Dr,Mckeesport,PA,15135,,,4,1.5,1986,31,0,0,0,0,0,,3.4,Auction,Below $50k,cluster3,1.1
Ridge Rd,Mckeesport,PA,15135,," 1,160 ",3,1.5,1907,110,1,0,1,1,0,,3.8,Pre-Foreclosure (Auction),Below $50k,cluster4,3
Ridge Rd,Mckeesport,PA,15135,," 1,120 ",2,1,1917,100,0,0,1,0,0,,4.8,Pre-Foreclosure (Auction),Below $50k,cluster5,4.5
Mckinnie Ave,Mc Kees Rocks,PA,15136,," 1,024 ",2,1,2012,5,0,0,1,1,1,,2.2,Foreclosure,Below $50k,cluster6,3.6
Field Club Dr,Mc Kees Rocks,PA,15136,," 2,920 ",4,2.5,2005,12,1,1,0,1,1,,4,Pre-Foreclosure (Auction),Below $50k,cluster5,4.9
Canyon Drive Ext,Mc Kees Rocks,PA,15136,," 2,510 ",3,2.5,1943,74,1,0,1,1,1,,4.5,Pre-Foreclosure (Auction),Below $50k,cluster5,4.8
Catherine St,Mc Kees Rocks,PA,15136,," 2,688 ",4,2,1914,103,1,0,1,0,1,,2.1,Pre-Foreclosure (Auction),Below $50k,cluster5,4.8
Macarthur St,Mc Kees Rocks,PA,15136,," 1,544 ",3,1,1946,71,1,0,1,0,1,,4.4,Pre-Foreclosure (Auction),Below $50k,cluster5,4.5
Phillips Ln,Mc Kees Rocks,PA,15136,," 1,526 ",3,2,1919,98,1,1,0,0,1,,3.4,Pre-Foreclosure (Auction),Below $50k,cluster5,4.9
Midway Dr,Mc Kees Rocks,PA,15136,," 1,020 ",2,1,1984,33,1,0,1,1,1,,4.6,Pre-Foreclosure (Auction),Below $50k,cluster5,4.6
Woodward Ave,Mc Kees Rocks,PA,15136,," 1,286 ",3,2,1939,78,1,0,1,1,1,,3.8,Pre-Foreclosure (Auction),Below $50k,cluster5,5
12th St,Mc Kees Rocks,PA,15136,," 1,970 ",2,1,1959,58,0,0,1,0,0,,3.8,Pre-Foreclosure (Auction),Below $50k,cluster5,4.5
Falck Rd,Mc Kees Rocks,PA,15136,," 1,380 ",3,1,1945,72,1,1,1,0,1,,3.7,Pre-Foreclosure (Auction),Below $50k,cluster5,4.6
Fiddleback Dr,Mc Kees Rocks,PA,15136,," 1,148 ",3,1,1927,90,1,0,1,0,1,,3.8,Pre-Foreclosure (Auction),Below $50k,cluster5,4.9
Harriet St,Mc Kees Rocks,PA,15136,," 1,258 ",2,1.5,2001,16,0,1,0,0,1,,4.2,Pre-Foreclosure (Auction),Below $50k,cluster5,4.7
15th St,Mc Kees Rocks,PA,15136,, 960 ,2,1,2000,17,0,0,1,0,0,,0.6,Pre-Foreclosure (Auction),Below $50k,cluster5,4.6
Fairoaks St,Mc Kees Rocks,PA,15136,, 864 ,3,1,2000,17,0,1,1,0,0,,0.9,Pre-Foreclosure (Auction),Below $50k,cluster5,4.7
Westinghouse St,North Versailles,PA,15137,, 875 ,3,2.5,1938,79,0,0,0,0,0,,4.6,Pre-Foreclosure (Auction),Below $50k,cluster3,1.2
Overhill Dr,North Versailles,PA,15137,," 1,163 ",4,1,1989,28,1,0,1,1,1,,3.3,Pre-Foreclosure (Auction),Below $50k,cluster5,4.9
Naysmith Rd,North Versailles,PA,15137,," 1,458 ",3,2,1942,75,1,0,1,1,1,,2.7,Pre-Foreclosure (Auction),Below $50k,cluster5,4.5
Foster Rd,North Versailles,PA,15137,, 840 ,2,1,1916,101,0,0,0,0,1,,3.2,Pre-Foreclosure (Auction),Below $50k,cluster5,5
Taylor St,North Versailles,PA,15137,," 1,748 ",3,1.5,1917,100,1,1,0,1,1,,3.4,Foreclosure,Below $50k,cluster2,3.2
Bevan Rd,N Versailles,PA,15137,," 1,080 ",3,2,1969,48,1,1,0,1,1,,4.4,Pre-Foreclosure (Auction),Below $50k,cluster5,4.6
Overhill Dr,North Versailles,PA,15137,," 1,163 ",3,1,1908,109,0,0,0,0,0,,4.7,Pre-Foreclosure (Auction),Below $50k,cluster3,1.2
Larimer Ave,North Versailles,PA,15137,," 1,192 ",2,1.5,1957,60,1,0,0,0,1,,4.5,Pre-Foreclosure (Auction),Below $50k,cluster5,4.7
Union Ave,North Versailles,PA,15137,, 864 ,2,1,2014,3,1,1,1,0,0,,3.9,Pre-Foreclosure (Auction),Below $50k,cluster5,4.5
3rd St,N Versailles,PA,15137,," 1,152 ",2,1,2002,15,0,1,1,0,1,,3.7,Pre-Foreclosure (Auction),Below $50k,cluster5,5
Porter St,North Versailles,PA,15137,," 1,131 ",3,1.5,1918,99,0,1,0,1,0,,3.1,Pre-Foreclosure (Auction),Below $50k,cluster1,4
Foster Rd,North Versailles,PA,15137,," 1,027 ",2,1,1969,48,0,0,0,0,0,,1.9,Pre-Foreclosure (Auction),Below $50k,cluster3,1.8
9th St,Oakmont,PA,15139,," 2,054 ",3,1.5,1915,102,0,1,0,1,1,,3.9,Pre-Foreclosure (Auction),Below $50k,cluster5,4.7
College Ave,Oakmont,PA,15139,," 1,254 ",3,2,1910,107,1,1,1,1,0,,3.7,Pre-Foreclosure (Auction),Below $50k,cluster5,4.8
Commons Dr,Oakmont,PA,15139,," 1,556 ",2,1.5,2006,11,1,0,0,1,0,,1.6,Pre-Foreclosure (Auction),Below $50k,cluster5,4.8
8th St,Oakmont,PA,15139,," 1,310 ",2,1,1985,32,0,1,0,0,0,,2.8,Pre-Foreclosure (Auction),Below $50k,cluster5,4.6
Isabella St,Oakmont,PA,15139,, 936 ,2,1,1993,24,0,0,0,0,1,,0.4,Pre-Foreclosure (Auction),Below $50k,cluster5,4.7
Shadyside Dr,West Mifflin,PA,15122,," 1,040 ",3,2,1967,50,0,1,0,1,0,,4.3,Pre-Foreclosure (Auction),Below $50k,cluster1,4.1
Duquesne Ave,West Mifflin,PA,15122,," 1,552 ",4,2,1997,20,0,1,0,1,0,,4.9,Pre-Foreclosure (Auction),Below $50k,cluster1,3.5
Monroe Ave,West Mifflin,PA,15122,," 1,374 ",3,1.5,1927,90,1,0,0,0,1,,3.9,Pre-Foreclosure (Auction),Below $50k,cluster5,4.7
Mcgowan Ave,West Mifflin,PA,15122,," 1,736 ",3,2.5,1952,65,1,0,1,1,1,,1.9,Pre-Foreclosure (Auction),Below $50k,cluster5,5
Shadyside Dr,West Mifflin,PA,15122,," 1,040 ",3,2,1991,26,1,1,1,0,0,,3.3,Pre-Foreclosure (Auction),Below $50k,cluster5,4.5
Duquesne Ave,West Mifflin,PA,15122,," 1,552 ",4,2,2012,5,1,0,1,1,1,,0.3,Pre-Foreclosure (Auction),Below $50k,cluster5,4.8
Monroe Ave,West Mifflin,PA,15122,," 1,374 ",3,1.5,1984,33,0,1,0,1,1,,4,Pre-Foreclosure (Auction),Below $50k,cluster5,5
Mcgowan Ave,West Mifflin,PA,15122,," 1,736 ",3,2.5,2011,6,0,1,1,0,1,,3.1,Pre-Foreclosure (Auction),Below $50k,cluster5,4.6
Irwin Run Rd,West Mifflin,PA,15122,," 1,050 ",2,1,1962,55,1,0,0,1,0,,4.3,Foreclosure,Below $50k,cluster4,2.2
Livingston Rd,West Mifflin,PA,15122,, 900 ,1,1,1940,77,0,0,1,1,0,,3.9,Pre-Foreclosure (Auction),Below $50k,cluster5,4.8
619 Eastman St,West Mifflin,PA,15122,,,2,1,1961,56,0,0,0,1,1,,3.7,House For Sale,Below $50k,cluster6,3
Gina Dr,West Mifflin,PA,15122,," 1,860 ",3,1.5,1991,26,0,1,1,0,0,,4.5,Pre-Foreclosure (Auction),Below $50k,cluster5,4.7
Livingston Rd,West Mifflin,PA,15122,, 900 ,3,2,1934,83,1,1,0,0,1,,3.9,Pre-Foreclosure (Auction),Below $50k,cluster5,5
Ohio Ave,West Mifflin,PA,15122,, 819 ,2,2,1933,84,0,1,1,1,1,,4.7,Pre-Foreclosure (Auction),Below $50k,cluster5,4.7
Mellon St,West Mifflin,PA,15122,," 1,512 ",3,1,1929,88,1,0,0,1,1,,0.1,Pre-Foreclosure (Auction),Below $50k,cluster5,4.9
Homestead Ave,West Mifflin,PA,15122,, 988 ,3,1.5,1939,78,1,1,1,0,0,,0.3,Pre-Foreclosure (Auction),Below $50k,cluster5,4.7
Maryland Ave,West Mifflin,PA,15122,," 1,408 ",3,1,1997,20,1,0,0,1,0,,3.6,Pre-Foreclosure (Auction),Below $50k,cluster5,5
Amblers Ln,West Mifflin,PA,15122,," 1,988 ",3,2,1975,42,1,1,1,1,1,,4.9,Pre-Foreclosure (Auction),Below $50k,cluster5,4.5
Homestead Duquesne Rd,West Mifflin,PA,15122,, 936 ,3,1.5,1968,49,1,1,0,1,1,,3.9,Pre-Foreclosure (Auction),Below $50k,cluster5,4.5
Madison Ave,West Mifflin,PA,15122,," 1,168 ",3,1.5,1930,87,0,0,0,1,1,,3.7,Pre-Foreclosure (Auction),Below $50k,cluster5,4.8
Vistaview St,West Mifflin,PA,15122,," 1,405 ",2,1,1973,44,0,1,0,1,1,,4.9,Pre-Foreclosure (Auction),Below $50k,cluster5,5
Edgewood Ave,West Mifflin,PA,15122,," 1,311 ",3,1,1961,56,0,0,0,0,0,,0.1,Pre-Foreclosure (Auction),Below $50k,cluster3,1.8
Highland Ave,West Mifflin,PA,15122,," 1,302 ",2,1,1933,84,1,0,0,1,1,,4.7,Pre-Foreclosure (Auction),Below $50k,cluster5,4.8
Meadow Dr,West Mifflin,PA,15122,," 1,097 ",2,1,1976,41,0,0,0,0,1,,4.3,Pre-Foreclosure (Auction),Below $50k,cluster5,4.5
Francis St,West Mifflin,PA,15122,," 2,009 ",3,1,2011,6,1,1,1,1,1,,4.9,Pre-Foreclosure (Auction),Below $50k,cluster5,4.7
Millport Rd,West Mifflin,PA,15122,, 925 ,2,1,1961,56,1,1,0,1,0,,3.6,Pre-Foreclosure (Auction),Below $50k,cluster5,4.7
Vermont Ave,West Mifflin,PA,15122,," 1,056 ",3,1,1906,111,0,1,1,0,1,,3,Pre-Foreclosure (Auction),Below $50k,cluster5,4.9
Vermont Ave,West Mifflin,PA,15122,," 1,560 ",3,1.5,1940,77,0,1,0,1,1,,1.7,Pre-Foreclosure (Auction),Below $50k,cluster5,5
Shara Dr,West Mifflin,PA,15122,," 1,269 ",3,1.5,1916,101,0,1,0,0,1,,3.1,Pre-Foreclosure (Auction),Below $50k,cluster5,4.5
Lebanon School Rd,West Mifflin,PA,15122,," 1,163 ",2,1,1954,63,1,0,0,1,0,,2.1,Pre-Foreclosure (Auction),Below $50k,cluster5,5
Garfield St,West Mifflin,PA,15122,," 1,900 ",3,1,1905,112,1,0,0,0,1,,5,Pre-Foreclosure (Auction),Below $50k,cluster5,5
Vistaview St,West Mifflin,PA,15122,, 975 ,3,1,1995,22,0,0,1,0,1,,3.7,Pre-Foreclosure (Auction),Below $50k,cluster5,5
Pennsylvania Ave,West Mifflin,PA,15122,," 1,024 ",2,1,2008,9,1,1,0,0,1,,4.3,Pre-Foreclosure (Auction),Below $50k,cluster5,4.5
Outlook Dr,West Mifflin,PA,15122,," 1,144 ",3,1,1980,37,0,1,1,1,1,,4,Pre-Foreclosure (Auction),Below $50k,cluster5,4.6
Wall Ave,Pitcairn,PA,15140,," 1,344 ",3,1,1966,51,1,1,1,1,0,,3.4,Pre-Foreclosure (Auction),Below $50k,cluster5,5
Pitcairn Ave,Pitcairn,PA,15140,," 1,260 ",3,1,1974,43,0,1,0,1,0,,3.8,Pre-Foreclosure (Auction),Below $50k,cluster1,4
2nd St,Pitcairn,PA,15140,," 1,123 ",2,1,2013,4,1,1,0,0,0,,3.5,Pre-Foreclosure (Auction),Below $50k,cluster5,4.5
2nd St,Pitcairn,PA,15140,," 1,123 ",2,1,1961,56,0,0,0,1,1,,3.9,Pre-Foreclosure (Auction),Below $50k,cluster5,5
Wall Ave,Pitcairn,PA,15140,," 1,344 ",3,1,1981,36,1,0,0,0,0,,3.5,Pre-Foreclosure (Auction),Below $50k,cluster5,4.6
Taylor Ave,Pitcairn,PA,15140,," 1,040 ",3,1,2013,4,0,0,0,1,0,,3.9,Pre-Foreclosure (Auction),Below $50k,cluster5,4.9
Cavitt Rd,Monroeville,PA,15146,," 1,352 ",4,1,1960,57,0,0,1,1,1,,2.1,Foreclosure,Below $50k,cluster6,3.4
Steele St,Monroeville,PA,15146,," 1,134 ",2,1,1908,109,1,0,0,1,1,,4.1,Pre-Foreclosure (Auction),Below $50k,cluster5,4.5
Foxboro Dr,Monroeville,PA,15146,," 1,160 ",3,1,2004,13,1,1,1,0,0,,3.9,Foreclosure,Below $50k,cluster5,4.5
Pendleton Dr,Monroeville,PA,15146,," 2,480 ",4,2,1947,70,0,0,1,1,1,,3.6,Pre-Foreclosure (Auction),Below $50k,cluster5,4.6
Jefferson Ct,Monroeville,PA,15146,," 2,904 ",4,3.5,2006,11,0,1,1,1,0,,4.3,Pre-Foreclosure (Auction),Below $50k,cluster5,4.9
Park Pl,Monroeville,PA,15146,," 1,275 ",4,1.5,1938,79,0,1,0,0,1,,3.3,Pre-Foreclosure (Auction),Below $50k,cluster5,5
Bert Dr,Monroeville,PA,15146,," 1,200 ",3,1,1955,62,0,1,0,0,1,,3.1,Foreclosure,Below $50k,cluster2,3.4
Garden City Dr,Monroeville,PA,15146,," 1,238 ",2,1,1953,64,0,1,1,1,1,,4,Pre-Foreclosure (Auction),Below $50k,cluster5,4.6
Scott Dr,Monroeville,PA,15146,," 1,162 ",3,1.5,1963,54,1,1,0,0,0,,2.4,Pre-Foreclosure (Auction),Below $50k,cluster5,4.7
Pennsylvania Ave,Monroeville,PA,15146,, 864 ,2,1,1993,24,0,1,1,0,0,,4.4,Pre-Foreclosure (Auction),Below $50k,cluster5,4.5
Meadow Gap Dr,Monroeville,PA,15146,," 1,452 ",3,1.5,1923,94,1,1,0,1,0,,4.4,Pre-Foreclosure (Auction),Below $50k,cluster5,4.9
Spartan Dr,Monroeville,PA,15146,," 1,770 ",3,2,1964,53,0,1,1,1,1,,4,Pre-Foreclosure (Auction),Below $50k,cluster5,4.9
Brightberry Rd,Monroeville,PA,15146,, 988 ,3,1.5,1974,43,0,1,0,1,1,,3.1,Pre-Foreclosure (Auction),Below $50k,cluster5,4.7
Leslie Rd,Monroeville,PA,15146,," 1,904 ",3,1,2010,7,0,1,0,1,0,,3.8,Pre-Foreclosure (Auction),Below $50k,cluster1,3.1
Firethorn Dr,Monroeville,PA,15146,," 1,400 ",3,1,1946,71,0,0,1,0,1,,1.6,Pre-Foreclosure (Auction),Below $50k,cluster5,4.8
Thomas St,Monroeville,PA,15146,," 1,072 ",2,1,1947,70,0,0,1,0,0,,3.6,Pre-Foreclosure (Auction),Below $50k,cluster5,5
Noel Dr,Monroeville,PA,15146,," 2,021 ",3,1,1987,30,1,1,1,0,0,,3.6,Pre-Foreclosure (Auction),Below $50k,cluster5,4.6
Mcmasters Dr,Monroeville,PA,15146,," 1,036 ",3,1,1983,34,1,0,0,0,0,,4.3,Foreclosure,Below $50k,cluster3,2
College Park Dr,Monroeville,PA,15146,," 1,163 ",3,1,1964,53,1,1,1,0,0,,3.8,Pre-Foreclosure (Auction),Below $50k,cluster5,4.5
Garden City Dr,Monroeville,PA,15146,," 1,292 ",3,1,1954,63,0,0,1,1,0,,3.3,Pre-Foreclosure (Auction),Below $50k,cluster5,4.5
Shaw Ave,Monroeville,PA,15146,, 725 ,3,1,1918,99,1,0,0,1,0,,4.7,Pre-Foreclosure (Auction),Below $50k,cluster5,4.6
Oakwood Dr,Monroeville,PA,15146,," 1,026 ",3,1.5,1963,54,1,0,0,1,1,,3.7,Pre-Foreclosure (Auction),Below $50k,cluster5,5
Burma Rd,Monroeville,PA,15146,," 1,056 ",3,1,1956,61,0,1,1,0,1,,0.8,Pre-Foreclosure (Auction),Below $50k,cluster5,4.8
Nevin Ave,Sewickley,PA,15143,," 1,076 ",2,1,1904,113,1,0,0,1,0,,3.5,Pre-Foreclosure (Auction),Below $50k,cluster5,5
Campmeeting Rd,Sewickley,PA,15143,, 808 ,2,1,1981,36,1,0,0,1,1,,3.4,Pre-Foreclosure (Auction),Below $50k,cluster5,4.7
Bank St,Sewickley,PA,15143,," 2,437 ",4,4.5,1923,94,1,0,1,0,1,,3.1,Pre-Foreclosure (Auction),Below $50k,cluster5,4.9
Big Sewickley Creek Rd,Sewickley,PA,15143,," 2,580 ",3,1,1909,108,1,0,1,1,1,,3.7,Pre-Foreclosure (Auction),Below $50k,cluster5,5
Backbone Rd,Sewickley,PA,15143,," 3,388 ",4,4,2012,5,1,0,1,0,0,,3.6,Pre-Foreclosure (Auction),Below $50k,cluster5,4.8
Watson St,Sewickley,PA,15143,," 1,511 ",3,2,1937,80,0,1,1,0,1,,1.5,Foreclosure,Below $50k,cluster2,3
Centennial Ave,Sewickley,PA,15143,," 1,483 ",4,2,1986,31,1,0,1,0,1,,3.3,Pre-Foreclosure (Auction),Below $50k,cluster5,4.8
Kevin Dr,Sewickley,PA,15143,," 4,590 ",5,4.5,2003,14,1,1,0,0,1,,3.6,Pre-Foreclosure (Auction),Below $50k,cluster5,4.9
Skymark Ln,Sewickley,PA,15143,," 5,819 ",7,7,1995,22,1,0,0,0,0,,4.9,Pre-Foreclosure (Auction),Below $50k,cluster5,4.5
Railroad St,Springdale,PA,15144,," 1,514 ",3,1,1990,27,1,0,0,1,0,,4.3,Foreclosure,Below $50k,cluster4,2.4
James St,Springdale,PA,15144,," 1,782 ",3,2,1967,50,1,0,1,1,1,,4.4,Pre-Foreclosure (Auction),Below $50k,cluster5,4.8
Walnut St,Springdale,PA,15144,," 1,580 ",3,2,1908,109,1,1,1,0,1,,0.7,Pre-Foreclosure (Auction),Below $50k,cluster5,4.8
North St,Springdale,PA,15144,," 2,332 ",3,1.5,1921,96,0,1,0,0,0,,3.6,Pre-Foreclosure (Auction),Below $50k,cluster5,4.6
971 Pittsburgh St,Springdale,PA,15144,,,0,,1921,96,0,0,1,0,0,,3.6,House For Sale,Below $50k,cluster3,1.7
Sycamore St,Turtle Creek,PA,15145,," 1,408 ",3,2,1942,75,0,1,0,0,0,,3.4,Foreclosure,Below $50k,cluster3,1
Leneake St,Turtle Creek,PA,15145,," 1,800 ",4,1,1919,98,0,1,1,0,1,,3.3,Foreclosure,Below $50k,cluster2,3.7
Brown Ave,Turtle Creek,PA,15145,," 1,920 ",4,1.5,1921,96,0,0,1,0,0,,3.9,Pre-Foreclosure (Auction),Below $50k,cluster5,4.9
Shaw Ave,Turtle Creek,PA,15145,," 2,385 ",4,1,1952,65,0,1,1,0,1,,3.1,Pre-Foreclosure (Auction),Below $50k,cluster5,4.9
Boyd St,Turtle Creek,PA,15145,," 1,850 ",4,2,1917,100,1,1,0,0,1,,3.1,Foreclosure,Below $50k,cluster2,4
Negley Ave,Turtle Creek,PA,15145,," 2,478 ",3,1,1984,33,1,0,0,0,0,,1.7,Pre-Foreclosure (Auction),Below $50k,cluster5,4.6
James St,Turtle Creek,PA,15145,," 1,527 ",3,1.5,1943,74,0,1,0,1,0,,3.6,Pre-Foreclosure (Auction),Below $50k,cluster1,3.5
Highland Ave,Turtle Creek,PA,15145,," 1,590 ",6,3,1918,99,1,0,1,1,0,,3.6,Pre-Foreclosure (Auction),Below $50k,cluster4,2.7
Albert St,Turtle Creek,PA,15145,," 2,348 ",4,2,1970,47,1,0,0,0,0,,3.2,Foreclosure,Below $50k,cluster3,1.9
Brown Ave,Turtle Creek,PA,15145,," 2,458 ",5,2,2009,8,0,0,0,0,0,,3.6,Pre-Foreclosure (Auction),Below $50k,cluster3,1.9
George St,Turtle Creek,PA,15145,," 1,256 ",3,1.5,1910,107,0,1,1,1,0,,3.8,Pre-Foreclosure (Auction),Below $50k,cluster5,4.8
Mercer St,Turtle Creek,PA,15145,," 1,600 ",3,2,1951,66,1,1,1,1,1,,4.4,Pre-Foreclosure (Auction),Below $50k,cluster5,4.8
Larimer Ave,Turtle Creek,PA,15145,," 2,154 ",4,2,1962,55,1,0,1,0,0,,0.7,Pre-Foreclosure (Auction),Below $50k,cluster5,4.6
Beech Street Ext,Turtle Creek,PA,15145,," 1,214 ",3,1,2014,3,0,0,0,1,1,,4.5,Pre-Foreclosure (Auction),Below $50k,cluster5,4.5
James St,Turtle Creek,PA,15145,," 1,351 ",4,2,1923,94,0,0,1,0,0,,1.8,Pre-Foreclosure (Auction),Below $50k,cluster5,4.6
Margaretta St,Turtle Creek,PA,15145,, 828 ,2,1.5,1953,64,1,0,0,1,1,,3.7,Pre-Foreclosure (Auction),Below $50k,cluster5,4.8
Highland Ave,Turtle Creek,PA,15145,," 1,430 ",4,1,1917,100,0,1,0,0,1,,3.5,Foreclosure,Below $50k,cluster2,3.3
Maple Ave,Turtle Creek,PA,15145,," 1,400 ",3,1,2012,5,1,1,0,1,1,,4,Pre-Foreclosure (Auction),Below $50k,cluster5,4.7
Fairview Ave,Turtle Creek,PA,15145,," 1,344 ",3,1,1908,109,1,0,0,0,1,,2.6,Pre-Foreclosure (Auction),Below $50k,cluster5,4.6
Prospect St,Turtle Creek,PA,15145,," 1,344 ",3,1,1936,81,0,1,0,1,0,,3.9,Pre-Foreclosure (Auction),Below $50k,cluster1,3.8
Albert St,Turtle Creek,PA,15145,," 1,320 ",3,1,1916,101,0,1,1,1,0,,0.3,Pre-Foreclosure (Auction),Below $50k,cluster5,4.8
Mercer St,Turtle Creek,PA,15145,," 1,504 ",3,1,1997,20,0,1,0,0,1,,4.5,Pre-Foreclosure (Auction),Below $50k,cluster5,5
Churchill Rd,Turtle Creek,PA,15145,," 1,012 ",2,1,1904,113,1,1,0,1,0,,5,Pre-Foreclosure (Auction),Below $50k,cluster5,4.5
George St,Turtle Creek,PA,15145,," 1,575 ",3,1,1986,31,0,0,1,0,0,,3.1,Pre-Foreclosure (Auction),Below $50k,cluster5,4.5
Mercer St,Turtle Creek,PA,15145,," 1,390 ",3,1,1945,72,1,0,0,1,0,,3.4,Pre-Foreclosure (Auction),Below $50k,cluster5,4.9
Church Street Ext,Turtle Creek,PA,15145,," 1,309 ",2,1,1937,80,1,0,0,1,1,,3.1,Pre-Foreclosure (Auction),Below $50k,cluster5,5
Church Street Ext,Turtle Creek,PA,15145,," 1,241 ",2,1,2014,3,0,0,0,1,0,,3.3,Pre-Foreclosure (Auction),Below $50k,cluster5,4.6
Highland Ave,Turtle Creek,PA,15145,," 1,384 ",3,1,1920,97,0,0,0,1,0,,3.8,Foreclosure,Below $50k,cluster4,2.8
Highland Ave,Turtle Creek,PA,15145,, 768 ,3,1,1997,20,1,1,0,0,0,,3.4,Pre-Foreclosure (Auction),Below $50k,cluster5,4.7
Seneca St,Turtle Creek,PA,15145,," 1,328 ",2,1,1988,29,0,1,1,1,1,,1.9,Pre-Foreclosure (Auction),Below $50k,cluster5,4.8
Oak Ave,Turtle Creek,PA,15145,," 1,190 ",2,1,1905,112,1,0,0,0,1,,1.7,Pre-Foreclosure (Auction),Below $50k,cluster5,4.8
Mcmasters Ave,Turtle Creek,PA,15145,," 1,188 ",3,1,1903,114,1,0,0,0,0,,3.8,Pre-Foreclosure (Auction),Below $50k,cluster5,4.6
Hulton Rd,Verona,PA,15147,," 1,218 ",3,1.5,1952,65,0,0,1,1,1,,1.1,Foreclosure,Below $50k,cluster6,3.9
240 Springwood Dr,Verona,PA,15147,,,3,1,1954,63,1,1,1,1,1,,3.8,Auction,Below $50k,cluster6,3.4
Springwood Dr,Verona,PA,15147,," 1,430 ",3,1,1997,20,0,0,0,0,1,,4.5,Foreclosure,Below $50k,cluster3,2
Mark Dr,Verona,PA,15147,, 912 ,3,1.5,1956,61,1,1,1,1,0,,2.2,Pre-Foreclosure (Auction),Below $50k,cluster5,4.7
Thon Dr,Verona,PA,15147,," 1,163 ",3,1,1974,43,0,1,1,1,1,,4.4,Pre-Foreclosure (Auction),Below $50k,cluster5,5
Indian Creek Rd,Verona,PA,15147,," 1,008 ",3,1,1976,41,0,1,1,0,1,,0.2,Pre-Foreclosure (Auction),Below $50k,cluster5,4.7
Thon Dr,Verona,PA,15147,," 1,296 ",2,1,1997,20,1,1,0,0,1,,3.4,Pre-Foreclosure (Auction),Below $50k,cluster5,4.7
Hamil Rd,Verona,PA,15147,," 1,102 ",3,2,1937,80,1,0,0,0,0,,0.4,Pre-Foreclosure (Auction),Below $50k,cluster5,4.8
Jade Dr,Verona,PA,15147,," 1,226 ",3,1.5,1989,28,1,1,0,1,1,,1.4,Pre-Foreclosure (Auction),Below $50k,cluster5,4.7
